setting,value
dataset,from_1927
num_simulations,20000
seed,20260620
block_length,10
retirement_path,/home/nick/Documents/programming/portfolio_testing/data/from_1927/retirement/retirement_path.csv
contribution_reference_path,/home/nick/Documents/programming/portfolio_testing/external_comparisons/fidelity_glide_path.csv
optimized_ages,20-65
fixed_retirement_block,65-90
objective,raw retirement objective minus Huber curvature penalty
raw_objective,weighted mean across starting ages 20-65 of the mean worst-4% floored wealth over ages 65-90
pre_retirement_terminal_wealth_floor,0.0
contribution_scaling,age 20 contribution is 1; later starting ages use 1 / contribution-reference mean entering balance
age_65_weight_ratio,1000.0
endpoint_grid_step,0.05
bisections,5
gradient_steps_per_bisection,10
learning_rate,0.04
curvature_penalty,0.0001
curvature_huber_delta,0.0001
smooth,True
smoothing_strength,0.2
smoothing_bandwidth,10.0
endpoint_cache_enabled,True
endpoint_cache_version,retirement_age20_endpoint_v1
